idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
12287;PEZ DIEGO;Agip Eni;Altro;PEZ DIEGO;VIA LEONARDO DA VINCI 3 33058;SAN GIORGIO DI NOGARO;UD;45.8379325606982;13.2115316390991
7283;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;SAN GIORGIO NOGARO - SP AUSSA CORNO;SP. DELL'AUSSA CORNO SN 33058;SAN GIORGIO DI NOGARO;UD;45.8223415318233;13.2150798981476
24846;B & T S.N.C. DI BONESSI M. & C.;Esso;Altro;ESSO;VIA NAZIONALE 32 33048;SAN GIOVANNI AL NATISONE;UD;45.9735447792311;13.3961775898933
38794;ROBIN'S SAS DI MUCCHIUT SABRINA E C.;Esso;Altro;Esso;Via Madonna di strada 5 33048;SAN GIOVANNI AL NATISONE;UD;45.9540099402847;13.3948324620724
44130;BE.OIL DI FABBRO EDOARDO & C. S.A.S.;Esso;Altro;ESSO - San Giovanni al Natisone;via del collio 12 33048;SAN GIOVANNI AL NATISONE;UD;45.9839116130778;13.4052676588955
39189;RIVERSIDE ENTERTAINMENT  S.R.L.S. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Esso;Altro;ESSO SAN GIOVANNI AL NATISONE;VIA DEL COLLIO 12 33048;SAN GIOVANNI AL NATISONE;UD;45.9839260926483;13.4052731779099
44945;SET SOCIETA' A RESPONSABILITA' LIMITATA;Esso;Altro;stazione di servizio ESSO - SET srl.;VIA MADONNA DI STRADA 5 33048;SAN GIOVANNI AL NATISONE;UD;45.9540413868249;13.3947162686825
13037;TERLICHER ANTONIO & C. S.N.C.;Agip Eni;Altro;14304;VIA CEMUR 12 33040;SAN LEONARDO;UD;46.1153883228703;13.5053458824066
28207;TIEMME SERVICE S.A.S. DI TRIBOS DANIELE SEBASTIANO & C.;Pompe Bianche;Altro;Tiemme Service sas;via Gorizia 12 33050;SAN VITO AL TORRE;UD;45.89207517344;13.3780592679977
9179;LB DI LAUZZANA RITA;Pompe Bianche;Altro;LB;VIA NUOVA 3 33030;SAN VITO DI FAGAGNA;UD;46.0926546058963;13.0730039632988
